TEST DE PARAMÈTRE 
p = 50
t = 5

 
Listes des gaps moyens de chaque valeur: 

H_215_0.3 : 0.04
V_110_0.5 : 0.04
V_120_0.4 : 0.04
V_120_0.5 : 0.04
H_235_0.5 : 0.04
V_140_0.6 : 0.04
H_225_0.4 : 0.04
V_145_0.6 : 0.04
V_160_0.6 : 0.04
V_115_0.5 : 0.04
V_155_0.6 : 0.04
H_240_0.6 : 0.04
V_125_0.6 : 0.05
V_120_0.6 : 0.05
V_150_0.6 : 0.05
H_245_0.6 : 0.05
V_125_0.3 : 0.05
H_240_0.7 : 0.05
H_205_0.2 : 0.05
V_130_0.6 : 0.05
V_95_0.4 : 0.05
H_215_0.4 : 0.05
V_135_0.6 : 0.05
H_230_0.5 : 0.05
V_95_0.2 : 0.05
H_210_0.3 : 0.05
V_175_0.8 : 0.05
V_180_0.8 : 0.05
V_185_0.8 : 0.05
V_125_0.5 : 0.05
V_80_0.2 : 0.06
V_105_0.4 : 0.06
H_250_0.9 : 0.06
V_165_0.8 : 0.06
V_105_0.3 : 0.06
H_210_0.4 : 0.06
H_220_0.5 : 0.06
H_245_0.7 : 0.06
V_85_0.3 : 0.06
V_90_0.4 : 0.07
H_185_0.2 : 0.07
V_185_0.9 : 0.07
H_215_0.5 : 0.07
V_170_0.8 : 0.07
V_110_0.4 : 0.07
H_205_0.3 : 0.07
V_145_0.7 : 0.07
V_160_0.8 : 0.07
V_150_0.7 : 0.07
V_75_0.3 : 0.07
H_235_0.6 : 0.07
H_230_0.6 : 0.07
H_225_0.5 : 0.07
V_80_0.3 : 0.07
V_95_0.3 : 0.07
H_220_0.6 : 0.08
V_100_0.5 : 0.08
H_205_0.4 : 0.08
V_150_0.8 : 0.08
V_100_0.4 : 0.08
H_190_0.2 : 0.08
H_210_0.5 : 0.08
H_200_0.2 : 0.08
H_240_0.8 : 0.09
V_115_0.6 : 0.09
V_110_0.6 : 0.09
V_95_0.5 : 0.09
H_245_0.8 : 0.09
H_195_0.2 : 0.09
H_200_0.3 : 0.09
V_100_0.3 : 0.09
V_160_0.9 : 0.1
V_75_0.2 : 0.1
H_235_0.7 : 0.1
H_195_0.3 : 0.1
H_225_0.6 : 0.1
V_155_0.9 : 0.1
H_200_0.4 : 0.1
V_165_0.9 : 0.1
V_70_0.2 : 0.1
H_180_0.2 : 0.1
V_100_0.6 : 0.1
V_65_0.2 : 0.11
H_210_0.6 : 0.11
H_185_0.3 : 0.11
H_230_0.7 : 0.11
V_150_0.9 : 0.11
H_205_0.5 : 0.11
V_70_0.3 : 0.12
V_105_0.6 : 0.12
H_190_0.3 : 0.12
H_245_0.9 : 0.12
H_215_0.6 : 0.12
V_170_0.9 : 0.12
V_95_0.6 : 0.12
H_195_0.4 : 0.12
H_175_0.2 : 0.13
H_170_0.2 : 0.13
H_190_0.4 : 0.13
H_185_0.4 : 0.13
H_220_0.7 : 0.13
V_145_0.8 : 0.13
V_180_0.9 : 0.13
V_140_0.7 : 0.14
V_175_0.9 : 0.14
H_180_0.3 : 0.14
H_170_0.3 : 0.14
V_85_0.5 : 0.14
H_200_0.5 : 0.14
H_195_0.5 : 0.15
H_185_0.5 : 0.15
H_235_0.8 : 0.15
H_240_0.9 : 0.15
V_80_0.4 : 0.15
H_205_0.6 : 0.15
V_75_0.4 : 0.15
V_90_0.5 : 0.15
H_225_0.7 : 0.15
H_175_0.3 : 0.15
H_215_0.7 : 0.16
H_210_0.7 : 0.16
V_60_0.2 : 0.16
H_190_0.5 : 0.16
H_170_0.4 : 0.16
H_180_0.4 : 0.17
H_170_0.5 : 0.18
H_175_0.5 : 0.18
V_105_0.7 : 0.18
H_220_0.8 : 0.18
H_165_0.2 : 0.18
H_180_0.5 : 0.19
H_230_0.8 : 0.19
H_200_0.6 : 0.19
H_175_0.4 : 0.19
H_235_0.9 : 0.19
H_195_0.6 : 0.19
V_115_0.7 : 0.2
H_205_0.7 : 0.2
H_190_0.6 : 0.2
H_165_0.3 : 0.2
V_75_0.5 : 0.2
V_120_0.7 : 0.21
V_110_0.7 : 0.21
H_165_0.4 : 0.21
V_80_0.5 : 0.21
H_160_0.2 : 0.21
H_155_0.2 : 0.21
V_100_0.7 : 0.22
V_145_0.9 : 0.22
H_160_0.3 : 0.22
V_135_0.7 : 0.22
H_185_0.6 : 0.22
V_70_0.4 : 0.23
V_90_0.6 : 0.23
H_180_0.6 : 0.23
V_95_0.7 : 0.24
H_170_0.6 : 0.24
V_90_0.7 : 0.24
H_160_0.4 : 0.24
V_65_0.3 : 0.25
V_130_0.7 : 0.25
H_175_0.6 : 0.25
H_200_0.7 : 0.25
H_150_0.2 : 0.25
V_140_0.8 : 0.26
H_215_0.8 : 0.26
H_225_0.8 : 0.26
H_155_0.3 : 0.26
H_150_0.3 : 0.27
H_155_0.4 : 0.27
H_165_0.5 : 0.27
H_145_0.2 : 0.28
H_160_0.5 : 0.28
H_140_0.2 : 0.28
H_135_0.2 : 0.28
H_185_0.7 : 0.28
H_160_0.6 : 0.28
H_180_0.7 : 0.29
H_210_0.8 : 0.29
H_165_0.6 : 0.29
V_60_0.3 : 0.29
H_195_0.7 : 0.29
V_125_0.7 : 0.29
H_230_0.9 : 0.29
H_190_0.7 : 0.29
H_170_0.7 : 0.29
H_135_0.3 : 0.3
H_140_0.3 : 0.3
H_150_0.4 : 0.3
H_175_0.7 : 0.31
H_145_0.3 : 0.31
V_85_0.7 : 0.32
V_140_0.9 : 0.32
H_205_0.8 : 0.33
H_130_0.2 : 0.34
V_105_0.8 : 0.35
H_125_0.2 : 0.35
H_155_0.6 : 0.35
H_155_0.5 : 0.35
H_145_0.4 : 0.36
V_85_0.8 : 0.36
H_165_0.7 : 0.36
V_65_0.4 : 0.36
H_225_0.9 : 0.36
V_80_0.6 : 0.36
H_220_0.9 : 0.37
