
TEST DE PARAMÈTRE 
p = 20
t = 10

 
Listes des gaps moyens de chaque valeur: 

V_75_0.2 : 0.22
H_165_0.5 : 0.22
H_185_0.7 : 0.22
V_110_0.5 : 0.22
V_85_0.3 : 0.22
V_100_0.6 : 0.22
V_120_0.7 : 0.23
H_175_0.7 : 0.23
H_200_0.9 : 0.23
H_190_0.8 : 0.23
V_100_0.4 : 0.23
H_180_0.7 : 0.24
H_145_0.4 : 0.24
H_165_0.6 : 0.24
H_155_0.3 : 0.24
V_95_0.7 : 0.25
H_155_0.4 : 0.25
V_85_0.5 : 0.25
H_160_0.3 : 0.25
H_145_0.3 : 0.25
H_145_0.5 : 0.26
H_150_0.3 : 0.26
H_190_0.9 : 0.26
V_80_0.3 : 0.26
V_70_0.4 : 0.27
H_185_0.8 : 0.27
H_130_0.3 : 0.27
H_150_0.4 : 0.27
V_70_0.2 : 0.27
H_120_0.2 : 0.27
V_105_0.7 : 0.28
H_130_0.2 : 0.28
H_160_0.4 : 0.28
H_170_0.7 : 0.28
V_85_0.4 : 0.29
V_110_0.6 : 0.29
V_115_0.7 : 0.3
H_160_0.5 : 0.3
V_105_0.8 : 0.3
H_125_0.2 : 0.3
H_150_0.5 : 0.3
H_155_0.5 : 0.3
H_135_0.5 : 0.3
H_115_0.2 : 0.31
V_80_0.2 : 0.31
H_175_0.8 : 0.31
V_115_0.6 : 0.31
V_100_0.7 : 0.31
H_140_0.5 : 0.32
H_185_0.9 : 0.32
H_155_0.6 : 0.32
H_145_0.6 : 0.32
H_140_0.4 : 0.32
V_90_0.7 : 0.32
H_125_0.3 : 0.32
V_75_0.4 : 0.33
H_150_0.6 : 0.33
H_165_0.7 : 0.34
H_110_0.3 : 0.34
V_110_0.7 : 0.35
H_145_0.7 : 0.35
H_135_0.6 : 0.35
H_160_0.6 : 0.35
H_180_0.8 : 0.35
H_135_0.4 : 0.37
H_140_0.6 : 0.38
V_130_0.7 : 0.38
V_85_0.6 : 0.38
H_110_0.2 : 0.38
H_120_0.3 : 0.38
H_170_0.8 : 0.38
V_140_0.7 : 0.39
V_95_0.8 : 0.39
V_100_0.8 : 0.39
H_115_0.3 : 0.39
H_105_0.3 : 0.39
V_130_0.8 : 0.4
H_115_0.4 : 0.4
H_165_0.8 : 0.41
V_90_0.6 : 0.41
V_80_0.5 : 0.41
H_130_0.4 : 0.41
V_145_0.6 : 0.41
H_135_0.7 : 0.41
H_155_0.7 : 0.42
H_160_0.7 : 0.42
V_145_0.7 : 0.42
H_105_0.2 : 0.43
H_140_0.7 : 0.43
H_125_0.4 : 0.43
H_120_0.4 : 0.43
H_150_0.7 : 0.44
V_70_0.3 : 0.44
H_130_0.6 : 0.44
H_180_0.9 : 0.44
V_65_0.2 : 0.44
V_90_0.5 : 0.44
H_100_0.3 : 0.46
H_125_0.5 : 0.46
H_105_0.4 : 0.47
H_95_0.2 : 0.47
H_130_0.5 : 0.47
H_175_0.9 : 0.47
V_60_0.2 : 0.47
H_95_0.3 : 0.47
V_85_0.8 : 0.48
H_100_0.2 : 0.48
V_65_0.4 : 0.48
V_65_0.5 : 0.48
H_145_0.8 : 0.48
H_165_0.9 : 0.49
V_95_0.5 : 0.49
H_130_0.7 : 0.49
H_110_0.4 : 0.49
H_150_0.8 : 0.5
V_135_0.7 : 0.5
V_140_0.8 : 0.51
V_80_0.6 : 0.51
H_120_0.5 : 0.52
H_100_0.4 : 0.52
H_120_0.7 : 0.52
H_140_0.8 : 0.52
H_85_0.2 : 0.52
H_135_0.8 : 0.52
H_105_0.5 : 0.53
V_90_0.8 : 0.53
H_100_0.5 : 0.53
V_85_0.7 : 0.53
H_90_0.2 : 0.54
V_65_0.3 : 0.54
V_55_0.2 : 0.54
H_115_0.6 : 0.54
H_155_0.8 : 0.54
H_90_0.3 : 0.54
H_110_0.5 : 0.55
H_125_0.7 : 0.55
V_60_0.3 : 0.55
V_145_0.8 : 0.55
H_115_0.5 : 0.56
H_115_0.8 : 0.56
H_75_0.3 : 0.56
H_110_0.6 : 0.56
H_95_0.4 : 0.56
V_75_0.5 : 0.56
V_70_0.5 : 0.56
H_90_0.5 : 0.57
H_80_0.2 : 0.57
H_95_0.5 : 0.58
V_80_0.4 : 0.58
H_120_0.6 : 0.59
V_70_0.6 : 0.59
V_135_0.8 : 0.59
H_125_0.6 : 0.6
H_145_0.9 : 0.6
H_75_0.2 : 0.6
H_160_0.8 : 0.6
H_80_0.4 : 0.6
H_120_0.8 : 0.6
H_80_0.3 : 0.61
V_75_0.7 : 0.61
V_140_0.9 : 0.61
H_170_0.9 : 0.62
H_85_0.4 : 0.62
V_60_0.4 : 0.62
H_85_0.3 : 0.62
H_125_0.8 : 0.62
H_105_0.7 : 0.63
H_95_0.6 : 0.63
H_90_0.4 : 0.64
V_130_0.9 : 0.64
V_55_0.3 : 0.65
H_115_0.7 : 0.66
H_105_0.6 : 0.66
H_70_0.5 : 0.66
V_125_0.7 : 0.66
H_130_0.8 : 0.66
V_75_0.3 : 0.67
H_135_0.9 : 0.67
H_85_0.5 : 0.67
H_155_0.9 : 0.67
H_90_0.7 : 0.68
V_125_0.8 : 0.68
H_100_0.7 : 0.69
H_110_0.8 : 0.69
V_90_0.9 : 0.7
H_115_0.9 : 0.7
H_75_0.4 : 0.7
H_110_0.9 : 0.7
V_85_0.9 : 0.7
H_65_0.2 : 0.71
H_100_0.6 : 0.72
H_70_0.2 : 0.72
H_85_0.6 : 0.72
V_50_0.2 : 0.72
H_110_0.7 : 0.72
H_90_0.6 : 0.73
H_150_0.9 : 0.73
H_70_0.4 : 0.74
H_125_0.9 : 0.74
H_70_0.3 : 0.74
H_120_0.9 : 0.74
H_105_0.9 : 0.75
V_145_0.9 : 0.75
V_120_0.8 : 0.75
H_95_0.7 : 0.76
V_135_0.9 : 0.77
V_50_0.4 : 0.78
H_105_0.8 : 0.78
H_85_0.7 : 0.78
H_75_0.6 : 0.8
V_60_0.6 : 0.81
H_75_0.5 : 0.81
V_80_0.7 : 0.82
H_100_0.8 : 0.82
H_80_0.6 : 0.82
H_95_0.8 : 0.82
H_100_0.9 : 0.83
H_90_0.8 : 0.83
H_130_0.9 : 0.84
H_80_0.5 : 0.85
H_140_0.9 : 0.85
H_75_0.8 : 0.85
H_85_0.8 : 0.86
H_55_0.4 : 0.86
V_65_0.6 : 0.86
V_75_0.8 : 0.87
H_80_0.7 : 0.88
V_80_0.8 : 0.88
H_50_0.3 : 0.89
H_60_0.3 : 0.89
H_160_0.9 : 0.9
H_50_0.2 : 0.9
H_95_0.9 : 0.9
V_115_0.8 : 0.9
H_70_0.6 : 0.91
H_75_0.9 : 0.92
H_55_0.2 : 0.92
H_65_0.4 : 0.93
H_55_0.3 : 0.93
H_65_0.5 : 0.93
H_80_0.8 : 0.93
H_65_0.3 : 0.93
H_65_0.6 : 0.94
V_80_0.9 : 0.94
H_45_0.2 : 0.94
H_60_0.7 : 0.95
H_45_0.3 : 0.96
H_70_0.7 : 0.96
V_115_0.9 : 0.96
H_50_0.6 : 0.97
H_75_0.7 : 0.98
H_50_0.4 : 0.98
H_60_0.5 : 0.98
H_40_0.3 : 0.99
H_90_0.9 : 0.99
V_55_0.5 : 1.0
V_110_0.8 : 1.0
V_50_0.3 : 1.01
H_45_0.4 : 1.01
H_65_0.7 : 1.01
H_50_0.5 : 1.01
H_60_0.4 : 1.02
H_60_0.2 : 1.02
H_40_0.4 : 1.02
H_60_0.6 : 1.02
H_55_0.5 : 1.03
H_80_0.9 : 1.03
V_75_0.6 : 1.04
H_40_0.2 : 1.05
H_70_0.9 : 1.06
H_40_0.8 : 1.07
V_55_0.6 : 1.07
V_60_0.5 : 1.07
H_60_0.8 : 1.07
H_55_0.6 : 1.08
H_35_0.3 : 1.08
H_65_0.8 : 1.08
H_50_0.7 : 1.09
V_105_0.9 : 1.11
V_60_0.7 : 1.11
H_40_0.6 : 1.12
H_55_0.7 : 1.12
H_30_0.2 : 1.13
V_50_0.5 : 1.13
H_45_0.5 : 1.13
V_110_0.9 : 1.13
V_45_0.2 : 1.13
V_125_0.9 : 1.14
H_85_0.9 : 1.14
H_50_0.8 : 1.14
H_55_0.9 : 1.15
V_50_0.6 : 1.15
V_55_0.7 : 1.15
H_45_0.9 : 1.16
H_45_0.7 : 1.17
H_40_0.7 : 1.18
H_60_0.9 : 1.18
V_70_0.7 : 1.18
V_75_0.9 : 1.21
H_70_0.8 : 1.22
H_35_0.5 : 1.23
H_35_0.2 : 1.23
V_120_0.9 : 1.25
H_45_0.6 : 1.25
H_25_0.3 : 1.28
V_45_0.3 : 1.28
H_40_0.5 : 1.28
H_65_0.9 : 1.3
H_55_0.8 : 1.32
H_40_0.9 : 1.35
V_65_0.7 : 1.35
V_95_0.9 : 1.36
H_35_0.8 : 1.37
V_100_0.9 : 1.37
H_35_0.6 : 1.38
H_45_0.8 : 1.39
H_30_0.7 : 1.41
H_25_0.2 : 1.42
H_30_0.3 : 1.43
H_30_0.4 : 1.43
H_50_0.9 : 1.44
H_35_0.4 : 1.45
H_35_0.9 : 1.47
V_60_0.8 : 1.5
H_25_0.4 : 1.5
H_20_0.4 : 1.52
H_30_0.5 : 1.54
V_65_0.8 : 1.54
H_35_0.7 : 1.54
H_30_0.6 : 1.54
V_40_0.2 : 1.55
H_25_0.8 : 1.56
V_45_0.4 : 1.58
H_30_0.9 : 1.59
H_25_0.5 : 1.59
V_40_0.3 : 1.6
V_35_0.2 : 1.6
H_30_0.8 : 1.6
H_20_0.2 : 1.6
V_55_0.4 : 1.61
V_45_0.5 : 1.66
V_35_0.4 : 1.66
H_25_0.9 : 1.66
H_20_0.3 : 1.68
H_15_0.7 : 1.69
H_25_0.7 : 1.69
H_20_0.6 : 1.7
V_50_0.7 : 1.71
H_15_0.9 : 1.73
H_20_0.8 : 1.74
V_40_0.4 : 1.74
H_15_0.8 : 1.76
V_30_0.3 : 1.77
H_25_0.6 : 1.77
H_20_0.5 : 1.78
H_10_0.3 : 1.8
V_40_0.6 : 1.84
H_15_0.5 : 1.84
H_15_0.6 : 1.85
V_70_0.9 : 1.87
H_15_0.3 : 1.91
V_45_0.6 : 1.91
H_15_0.2 : 1.91
V_70_0.8 : 1.91
V_35_0.3 : 1.92
H_10_0.2 : 1.92
V_50_0.8 : 1.94
V_30_0.2 : 1.94
H_20_0.7 : 1.94
V_35_0.6 : 1.94
H_20_0.9 : 1.95
H_10_0.6 : 1.96
H_15_0.4 : 1.97
H_10_0.7 : 1.97
V_55_0.9 : 1.99
H_10_0.4 : 2.01
H_5_0.5 : 2.04
H_5_0.4 : 2.04
V_40_0.5 : 2.05
H_5_0.3 : 2.14
H_5_0.2 : 2.14
H_10_0.5 : 2.15
H_10_0.9 : 2.17
H_10_0.8 : 2.18
H_5_0.7 : 2.22
H_5_0.6 : 2.22
V_35_0.5 : 2.22
V_65_0.9 : 2.28
V_45_0.7 : 2.28
V_25_0.3 : 2.36
H_5_0.8 : 2.37
H_5_0.9 : 2.37
V_40_0.7 : 2.47
V_60_0.9 : 2.48
V_35_0.7 : 2.54
V_25_0.2 : 2.62
V_30_0.5 : 2.68
V_30_0.4 : 2.77
V_55_0.8 : 2.95
V_45_0.8 : 3.0
V_45_0.9 : 3.14
V_35_0.9 : 3.18
V_30_0.7 : 3.22
V_35_0.8 : 3.24
V_25_0.5 : 3.49
V_40_0.9 : 3.51
V_40_0.8 : 3.53
V_25_0.6 : 3.6
V_30_0.6 : 3.64
V_25_0.7 : 3.98
V_50_0.9 : 4.0
V_30_0.8 : 4.3
V_20_0.3 : 4.36
V_20_0.2 : 4.44
V_20_0.9 : 4.6
V_20_0.6 : 4.6
V_25_0.4 : 4.76
V_30_0.9 : 4.82
V_20_0.4 : 4.95
V_20_0.7 : 5.08
V_15_0.7 : 5.38
V_20_0.5 : 5.45
V_15_0.5 : 5.51
V_15_0.3 : 5.54
V_20_0.8 : 5.58
V_15_0.4 : 5.66
V_25_0.8 : 5.78
V_15_0.2 : 5.85
V_10_0.3 : 5.87
V_15_0.6 : 6.1
V_15_0.9 : 6.17
V_10_0.2 : 6.63
V_25_0.9 : 6.68
V_15_0.8 : 6.74
V_10_0.8 : 7.04
V_10_0.4 : 7.06
V_10_0.6 : 7.24
V_5_0.7 : 7.34
V_5_0.6 : 7.34
V_10_0.5 : 7.4
V_10_0.7 : 7.41
V_10_0.9 : 7.78
V_5_0.3 : 7.79
V_5_0.2 : 7.79
V_5_0.9 : 7.85
V_5_0.8 : 7.85
V_5_0.5 : 7.99
V_5_0.4 : 7.99

 
Listes des temps moyens de chaque valeur: 

H_185_0.2 : 0.4829
V_185_0.5 : 0.5154
V_180_0.7 : 0.5302
H_190_0.2 : 0.5308
V_200_0.9 : 0.5344
V_200_0.8 : 0.5355
V_190_0.9 : 0.5357
V_200_0.7 : 0.5387
V_185_0.4 : 0.5392
V_190_0.8 : 0.5412
V_200_0.6 : 0.5412
V_190_0.7 : 0.5422
V_180_0.6 : 0.5428
V_200_0.5 : 0.5464
V_190_0.6 : 0.5492
V_200_0.4 : 0.5532
V_190_0.5 : 0.5556
V_190_0.4 : 0.5657
V_200_0.3 : 0.5659
V_180_0.5 : 0.5703
V_205_0.8 : 0.5745
V_190_0.3 : 0.5751
V_205_0.9 : 0.5752
V_205_0.7 : 0.5766
V_205_0.6 : 0.577
V_185_0.3 : 0.5775
V_195_0.9 : 0.5808
V_195_0.8 : 0.5811
V_205_0.4 : 0.5829
V_205_0.5 : 0.5834
V_195_0.7 : 0.5877
V_195_0.6 : 0.5911
V_180_0.4 : 0.5918
